REQ_ID,AREA,GROUND_TRUTH_ANCHOR,DESCRIPTION,CURRENT_CODE_LOCATION,CODE_STATUS,SOURCE_STATUS,BUSINESS_APPROVAL_STATUS,IMPLEMENTATION_AUTHORIZATION,PUBLICATION_AUTHORIZATION,BLOCKING_ODS,NOTES
TD-REQ-001,platform,GT §3.1,Laravel 13 / PHP 8.3+ / React 18 / TS 5 / PostgreSQL 15+ Modular Monolith,confirmed by composer.json + package.json,IMPLEMENTED,SOURCE_CONFIRMED,BUSINESS_APPROVED (SG-* series operated within this),IMPLEMENTATION_AUTHORIZED,PUBLICATION_AUTHORIZED,none,foundational
TD-REQ-002,ownership,GT §3.1,Ownership default inside JeaServices; no independent module without ADR,Modules/JeaServices/,IMPLEMENTED,SOURCE_CONFIRMED,BUSINESS_APPROVED,IMPLEMENTATION_AUTHORIZED,PUBLICATION_AUTHORIZED,none,foundational
TD-REQ-003,platform,GT §3.1,Deterministic calculations + fail-closed + UI-engine separation + snapshots,CalculationSnapshot + ServiceCalculationPolicy,IMPLEMENTED (SG-04+05),SOURCE_CONFIRMED,BUSINESS_APPROVED,IMPLEMENTATION_AUTHORIZED,PUBLICATION_AUTHORIZED,none,foundational
TD-REQ-010,submission,GT §3.2,Applications exclusively via engineering offices,ApplicationController::store gated on isApplicant(),IMPLEMENTED,SOURCE_CONFIRMED,BUSINESS_APPROVED,IMPLEMENTATION_AUTHORIZED,PUBLICATION_AUTHORIZED,none,already in code
TD-REQ-011,submission,GT §3.2,Auto verification (eligibility/quota/specialisations/blocking notes) BEFORE technical routing,CapacityGuard + SanctionGuard + CadastralConflictGuard + OwnerMatchClearanceGuard via CrossCuttingSubmissionPipeline,IMPLEMENTED (pipeline runs before service-guard),SOURCE_CONFIRMED,BUSINESS_APPROVED,IMPLEMENTATION_AUTHORIZED,PUBLICATION_AUTHORIZED,none,order verified
TD-REQ-012,submission,GT §3.2,Shared eligibility contract — no quota-logic replay inside the service,Application does not re-run quota logic; QuotaLedger owns write-side,IMPLEMENTED,SOURCE_CONFIRMED,BUSINESS_APPROVED,IMPLEMENTATION_AUTHORIZED,PUBLICATION_AUTHORIZED,none,DG-11 register enforces this
TD-REQ-013,submission,GT §3.2,Post-submit edits limited to PartialEditGrant scope,not implemented; Application::isEditable allows draft + modifications_requested wholesale,MISSING,SOURCE_CONFIRMED,BUSINESS_APPROVAL_UNVERIFIED (needs SRS §? verification),IMPLEMENTATION_BLOCKED_UNTIL_OD_29_OR_SRS_SPEC,PUBLICATION_BLOCKED,OD-29,PartialEditGrant scope not specified in Ground Truth
TD-REQ-014,submission,GT §3.2,Super-admin return BEFORE payment only with mandatory reason,not implemented,MISSING,SOURCE_CONFIRMED,BUSINESS_APPROVAL_UNVERIFIED,IMPLEMENTATION_AUTHORIZED (mechanism-only),PUBLICATION_BLOCKED,none,mechanism can be built; reason validation trivial
TD-REQ-020,workflow,GT §3.3,"State chain: Draft → Office_Check → Technical_Reviewer_1 → Technical_Reviewer_2 → Approved_Technically → Pending_Payment → Paid → (Sensory_Inspection | Financial_Clearance) → Certificate_Issuance → Completed",Application::STATUS_* has 7 states (draft submitted under_review modifications_requested approved rejected certificate_issued); target has ~11,PARTIAL,SOURCE_CONFIRMED (matrix per SRS §9.3 as summarised),BUSINESS_APPROVAL_UNVERIFIED,IMPLEMENTATION_AUTHORIZED (state-machine addition; non-numeric),PUBLICATION_BLOCKED,OD-18 (post-second-auditor),partial state-machine delta
TD-REQ-021,workflow,GT §3.3 + FR-SS-051,Rejection note MANDATORY; acceptance note OPTIONAL,not implemented at state-machine level; free-text field only,MISSING,SOURCE_CONFIRMED,BUSINESS_APPROVAL_UNVERIFIED,IMPLEMENTATION_AUTHORIZED,PUBLICATION_BLOCKED,none,mechanism trivially implementable
TD-REQ-022,workflow,GT §3.3 + FR-SS-049,After return to originating office, prevent re-assignment to a different office,not implemented,MISSING,SOURCE_CONFIRMED,BUSINESS_APPROVAL_UNVERIFIED,IMPLEMENTATION_AUTHORIZED,PUBLICATION_BLOCKED,none,cross-office block; implementable via constraint on applicant_id
TD-REQ-023,workflow,GT §3.3 + FR-SS-062,Every path terminates with a conformance certificate (compliance),cert issuance path exists (CertificatesController::issue + WorkflowEngine::issueCertificate); path completeness not audited,PARTIAL,SOURCE_CONFIRMED_PRINCIPLE_BLOCKED_IMPLEMENTATION,BUSINESS_APPROVAL_UNVERIFIED,IMPLEMENTATION_BLOCKED_UNTIL_STATE_MACHINE_TARGET,PUBLICATION_BLOCKED,see GT §3.3 note,marker in Ground Truth: "المتطلب مؤكد المبدأ, BLOCKED تنفيذيًا"
TD-REQ-030,path,GT §3.4,DEFERRED path: office → 2nd auditor → accept/reject → pay → receipts → proposed → sensory → clearance → certificate,not implemented; only proposed variant exists,MISSING,SOURCE_CONFIRMED,BUSINESS_APPROVAL_UNVERIFIED,IMPLEMENTATION_AUTHORIZED_STRUCTURE_ONLY,PUBLICATION_BLOCKED,TBD-6 TBD-7 GAP-03,path skeleton implementable; excavation gate blocked by GAP-03
TD-REQ-031,path,GT §3.4,Quota-coalition path: office1 → office2 (accept/reject) → sell quota → fees + tax → receipts,not implemented,MISSING,SOURCE_CONFIRMED,BUSINESS_APPROVAL_UNVERIFIED,IMPLEMENTATION_BLOCKED_UNTIL_TBD-8_TBD-9,PUBLICATION_BLOCKED,TBD-8 TBD-9,quota unit + ordering unresolved
